tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length
180311	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hespellia|Hespellia_stercorisuis	species	Hespellia_stercorisuis	Bacteria	6.565909905781437	1.7497958847475517E-4	56	2	0
1261637	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes|Anaerostipes_sp._992a	species	Anaerostipes_sp._992a	Bacteria	3.0888532166763993	8.23170394459798E-5	103	0	2798165
1261636	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes|Anaerostipes_sp._494a	species	Anaerostipes_sp._494a	Bacteria	2.5802472745112066	6.876283907878961E-5	96	0	2447984
88	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|unclassified_Burkholderiales|Burkholderiales_Genera_incertae_sedis|Leptothrix	genus	Leptothrix	Bacteria	2.619461039328589	6.980787450095549E-5	12	0	0
1212491	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella_fallonii|Legionella_fallonii_LLAP-10	no_rank	Legionella_fallonii_LLAP-10	Bacteria	0.3408860839240586	9.084514947316148E-6	4	0	4434890
1261640	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium_sp._68-3-10	species	Eubacterium_sp._68-3-10	Bacteria	153.48504958924525	0.004090331911271814	443	63	2814507
1212489	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella_drozanskii|Legionella_drozanskii_LLAP-1	no_rank	Legionella_drozanskii_LLAP-1	Bacteria	0.0036900369003690036	9.833840968708572E-8	1	0	3558106
1916993	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas_sp._DRA525	species	Pseudomonas_sp._DRA525	Bacteria	1.4535306694052181	3.873616939885358E-5	116	0	6267580
1310795	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._1281984	species	Acinetobacter_sp._1281984	Bacteria	0.5711517544353685	1.5221028064935186E-5	60	0	4071879
393305	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia|Yersinia_enterocolitica|Yersinia_enterocolitica_subsp._enterocolitica|Yersinia_enterocolitica_subsp._enterocolitica_8081	no_rank	Yersinia_enterocolitica_subsp._enterocolitica_8081	Bacteria	1.8680622807305585	4.9783316222421296E-5	113	1	4683620
1310833	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._796380-1375	species	Acinetobacter_sp._796380-1375	Bacteria	0.47633259510008025	1.2694125058635657E-5	56	0	4146084
1310834	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._263903-2	species	Acinetobacter_sp._263903-2	Bacteria	0.43283579339432326	1.15349479496504E-5	54	0	4134547
104	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Cyclobacterium|Cyclobacterium_marinum	species	Cyclobacterium_marinum	Bacteria	0.007229597612431821	1.9266667274059038E-7	2	0	0
